map_name,width,height,primary_tileset,secondary_tileset,border_t0,border_t1,border_t2,border_t3
PetalburgCity_Layout,30,30,gTileset_General,gTileset_Petalburg
SlateportCity_Layout,40,60,gTileset_General,gTileset_Slateport
MauvilleCity_Layout,40,20,gTileset_General,gTileset_Mauville
RustboroCity_Layout,40,60,gTileset_General,gTileset_Rustboro
FortreeCity_Layout,40,20,gTileset_General,gTileset_Fortree
LilycoveCity_Layout,80,40,gTileset_General,gTileset_Lilycove
MossdeepCity_Layout,80,40,gTileset_General,gTileset_Mossdeep
SootopolisCity_Layout,60,60,gTileset_General,gTileset_Sootopolis
EverGrandeCity_Layout,40,80,gTileset_General,gTileset_EverGrande
LittlerootTown_Layout,20,20,gTileset_General,gTileset_Petalburg
OldaleTown_Layout,20,20,gTileset_General,gTileset_Petalburg
DewfordTown_Layout,20,20,gTileset_General,gTileset_Dewford
LavaridgeTown_Layout,20,20,gTileset_General,gTileset_Lavaridge
FallarborTown_Layout,20,20,gTileset_General,gTileset_Fallarbor
VerdanturfTown_Layout,20,20,gTileset_General,gTileset_Mauville
PacifidlogTown_Layout,20,40,gTileset_General,gTileset_Pacifidlog
Route101_Layout,20,20,gTileset_General,gTileset_Petalburg
Route102_Layout,50,20,gTileset_General,gTileset_Petalburg
Route103_Layout,80,20,gTileset_General,gTileset_Petalburg
Route104_Layout,40,80,gTileset_General,gTileset_Rustboro
Route105_Layout,40,80,gTileset_General,gTileset_Dewford
Route106_Layout,80,20,gTileset_General,gTileset_Dewford
Route107_Layout,60,20,gTileset_General,gTileset_Dewford
Route108_Layout,60,20,gTileset_General,gTileset_Slateport
Route109_Layout,40,60,gTileset_General,gTileset_Slateport
Route110_Layout,40,100,gTileset_General,gTileset_Mauville
Route111_Layout,40,140,gTileset_General,gTileset_Mauville
Route112_Layout,40,60,gTileset_General,gTileset_Lavaridge
Route113_Layout,100,20,gTileset_General,gTileset_Fallarbor
Route114_Layout,40,80,gTileset_General,gTileset_Fallarbor
Route115_Layout,40,80,gTileset_General,gTileset_Fallarbor
Route116_Layout,100,20,gTileset_General,gTileset_Rustboro
Route117_Layout,60,20,gTileset_General,gTileset_Mauville
Route118_Layout,80,20,gTileset_General,gTileset_Mauville
Route119_Layout,40,140,gTileset_General,gTileset_Fortree
Route120_Layout,40,100,gTileset_General,gTileset_Fortree
Route121_Layout,80,20,gTileset_General,gTileset_Lilycove
Route122_Layout,40,40,gTileset_General,gTileset_Lilycove
Route123_Layout,140,20,gTileset_General,gTileset_Lilycove
Route124_Layout,80,80,gTileset_General,gTileset_Mossdeep
Route125_Layout,80,40,gTileset_General,gTileset_Mossdeep
Route126_Layout,80,80,gTileset_General,gTileset_Mossdeep
Route127_Layout,80,80,gTileset_General,gTileset_Mossdeep
Route128_Layout,120,40,gTileset_General,gTileset_Mossdeep
Route129_Layout,80,40,gTileset_General,gTileset_Mossdeep
UnreferencedMap_Layout,80,40,gTileset_General,gTileset_Cave
Route131_Layout,60,40,gTileset_General,gTileset_Pacifidlog
Route132_Layout,80,40,gTileset_General,gTileset_Pacifidlog
Route133_Layout,80,40,gTileset_General,gTileset_Pacifidlog
Route134_Layout,80,40,gTileset_General,gTileset_Pacifidlog
Underwater2_Layout,80,80,gTileset_General,gTileset_Underwater
Underwater3_Layout,80,80,gTileset_General,gTileset_Underwater
Underwater4_Layout,120,40,gTileset_General,gTileset_Underwater
LittlerootTown_BrendansHouse_1F_Layout,11,9,gTileset_Building,gTileset_BrendansMaysHouse
LittlerootTown_BrendansHouse_2F_Layout,9,8,gTileset_Building,gTileset_BrendansMaysHouse
LittlerootTown_MaysHouse_1F_Layout,11,9,gTileset_Building,gTileset_BrendansMaysHouse
LittlerootTown_MaysHouse_2F_Layout,9,8,gTileset_Building,gTileset_BrendansMaysHouse
LittlerootTown_ProfessorBirchsLab_Layout,13,13,gTileset_Building,gTileset_Lab
House1_Layout,10,9,gTileset_Building,gTileset_GenericBuilding
House2_Layout,11,8,gTileset_Building,gTileset_GenericBuilding
PokemonCenter_1F_Layout,14,9,gTileset_Building,gTileset_PokemonCenter
PokemonCenter_2F_Layout,14,9,gTileset_Building,gTileset_PokemonCenter
PokeMart_Layout,11,8,gTileset_Building,gTileset_Shop
