map,CaveOfOrigin_B4F_Layout,width,19,height,19,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0x071C,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x071D
1,0x071F,0x0733,0x071C,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x071D,0x0733,0x074A
2,0x0722,0x0733,0x0722,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0720,0x0733,0x0720
3,0x0722,0x071C,0x072A,0x0733,0x071C,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x071D,0x0733,0x0728,0x071D,0x0720
4,0x0722,0x0722,0x0733,0x071C,0x072A,0x071C,0x0729,0x0729,0x0729,0x0729,0x0729,0x0729,0x0740,0x071D,0x0728,0x071D,0x0733,0x0720,0x0720
5,0x0722,0x0722,0x0733,0x0722,0x071C,0x072A,0x331B,0x331B,0x331B,0x331B,0x331B,0x331B,0x3341,0x0728,0x071D,0x0720,0x0733,0x074A,0x0720
6,0x0722,0x0722,0x0733,0x0722,0x071F,0x331B,0x331B,0x331B,0x071C,0x0729,0x071D,0x331B,0x331B,0x331B,0x0720,0x0720,0x0733,0x0720,0x0720
7,0x0722,0x0722,0x0733,0x0722,0x0722,0x331B,0x331B,0x071C,0x0745,0x154E,0x0744,0x071D,0x331B,0x331B,0x0720,0x0720,0x0733,0x0720,0x0720
8,0x0722,0x0722,0x0733,0x0722,0x0722,0x331B,0x071C,0x0745,0x154E,0x154F,0x154E,0x0744,0x071D,0x331B,0x0720,0x0720,0x0733,0x0720,0x0720
9,0x0722,0x0722,0x0733,0x0722,0x0722,0x331B,0x0747,0x154E,0x154F,0x154F,0x154F,0x154E,0x0746,0x331B,0x0720,0x0720,0x0733,0x074C,0x0720
10,0x0722,0x0722,0x0733,0x071F,0x0722,0x331B,0x0747,0x154E,0x154F,0x154F,0x154F,0x154E,0x0746,0x331B,0x0720,0x0720,0x0733,0x0720,0x0720
11,0x0722,0x0722,0x0733,0x0722,0x0722,0x331B,0x3324,0x073F,0x154E,0x154F,0x154E,0x073E,0x3324,0x331B,0x0720,0x071E,0x0733,0x0720,0x0720
12,0x0722,0x074D,0x0733,0x0722,0x0724,0x071A,0x331B,0x3324,0x073F,0x054E,0x073E,0x3324,0x331B,0x0718,0x0724,0x0720,0x0733,0x0720,0x0720
13,0x0722,0x0722,0x0733,0x0724,0x0717,0x0722,0x331B,0x331B,0x3324,0x3342,0x3324,0x331B,0x331B,0x0720,0x070F,0x0724,0x0733,0x0720,0x0720
14,0x0722,0x0724,0x0717,0x0733,0x0722,0x0724,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0724,0x0720,0x0733,0x070F,0x0724,0x0720
15,0x0722,0x0733,0x0722,0x0733,0x0724,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0724,0x0733,0x071E,0x0733,0x0720
16,0x0722,0x0733,0x0724,0x0732,0x0732,0x0732,0x0732,0x0717,0x0733,0x0733,0x0733,0x070F,0x0732,0x0732,0x0732,0x0732,0x0724,0x0733,0x0720
17,0x0722,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0724,0x0732,0x0732,0x0732,0x0724,0x0733,0x0733,0x0733,0x0733,0x0733,0x0733,0x0720
18,0x0724,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0717,0x0733,0x070F,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0732,0x0724
