map,Route119_WeatherInstitute_2F_Layout,width,20,height,11,primary,gTileset_Building,secondary,gTileset_Lab
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0x065F,0x0688,0x0689,0x065F,0x066B,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x065F,0x367C,0x367D,0x367E,0x065F
1,0x0667,0x0690,0x0691,0x0667,0x066B,0x062C,0x062D,0x062C,0x062D,0x062C,0x062D,0x062C,0x062D,0x062C,0x062D,0x0667,0x3684,0x0283,0x3686,0x0667
2,0x326A,0x3298,0x3299,0x327A,0x066B,0x0634,0x0635,0x0634,0x0635,0x0634,0x0635,0x0634,0x0635,0x0634,0x0635,0x326A,0x328C,0x327A,0x328E,0x327A
3,0x3272,0x0660,0x3269,0x3269,0x0673,0x326A,0x327A,0x327A,0x0664,0x0665,0x327A,0x327A,0x327A,0x0664,0x0665,0x3277,0x3269,0x3269,0x3269,0x3269
4,0x3257,0x0654,0x3269,0x3269,0x0670,0x3272,0x3269,0x325E,0x0653,0x0654,0x3256,0x3269,0x325E,0x0653,0x0654,0x3256,0x3269,0x3269,0x3269,0x3269
5,0x3272,0x065C,0x3269,0x3269,0x0678,0x3272,0x3269,0x3269,0x068A,0x068B,0x3269,0x3269,0x3269,0x068A,0x068B,0x3269,0x3269,0x3269,0x3269,0x3269
6,0x3272,0x3269,0x3269,0x3269,0x3280,0x3277,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269
7,0x3272,0x3269,0x3269,0x3269,0x0681,0x3272,0x3269,0x3269,0x0660,0x0661,0x3269,0x3269,0x3269,0x0660,0x0661,0x3269,0x3269,0x3269,0x3269,0x3269
8,0x3272,0x0660,0x3269,0x3269,0x066B,0x3272,0x3269,0x325E,0x0653,0x0654,0x3269,0x3269,0x325E,0x0653,0x0654,0x3256,0x3269,0x3269,0x3269,0x3269
9,0x3257,0x0654,0x3269,0x3269,0x066B,0x3272,0x3269,0x3269,0x068A,0x068B,0x3269,0x3269,0x3269,0x068A,0x068B,0x3269,0x3269,0x3269,0x3269,0x3269
10,0x3272,0x065C,0x3269,0x3269,0x066B,0x3272,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269,0x3269
