map,MossdeepCity_SpaceCenter_2F_Layout,width,16,height,10,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0x0611,0x0219,0x0219,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06F8,0x06C3,0x06C4,0x06C5,0x0219
1,0x060A,0x06B8,0x06B9,0x0700,0x0700,0x0700,0x0700,0x0700,0x0700,0x0700,0x0700,0x0700,0x06CB,0x02CC,0x06CD,0x06B9
2,0x0609,0x3376,0x3376,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x336E,0x3366,0x336F,0x3376
3,0x0610,0x32F1,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x32F0,0x32F0
4,0x0620,0x0756,0x0773,0x0773,0x0773,0x0773,0x0773,0x0773,0x0773,0x0773,0x0773,0x0773,0x0774,0x32F0,0x32F0,0x32F0
5,0x3372,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x3366,0x32F0,0x32F0,0x32F0
6,0x32F1,0x32F0,0x3363,0x3364,0x32F0,0x3363,0x3364,0x32F0,0x3362,0x3364,0x32F0,0x3363,0x3364,0x32F0,0x32F0,0x32F0
7,0x32F1,0x32F0,0x076B,0x076C,0x32F0,0x076B,0x076C,0x32F0,0x076A,0x076C,0x32F0,0x076B,0x076C,0x32F0,0x32F0,0x32F0
8,0x32F1,0x32F0,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x3361,0x32F0,0x32F0,0x32F0,0x32F0
9,0x32F1,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0,0x32F0
