map,Route110_TrickHousePuzzle8_Layout,width,15,height,22,primary,gTileset_Building,secondary,gTileset_TrickHousePuzzle
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0602,0x066F,0x0604
1,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x3677,0x060C
2,0x3615,0x3615,0x3615,0x3615,0x3615,0x3615,0x3615,0x3615,0x3615,0x3615,0x3615,0x3615,0x3210,0x3210,0x3615
3,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B,0x366C
4,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B
5,0x366C,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B
6,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B,0x326B,0x326B
7,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B,0x326B
8,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B
9,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B,0x326B,0x326B,0x366C,0x366C,0x326B,0x326B,0x326B,0x326B
10,0x326B,0x366C,0x366C,0x366C,0x366C,0x366C,0x326B,0x366C,0x366C,0x366C,0x366C,0x366C,0x366C,0x366C,0x366C
11,0x3208,0x3208,0x3208,0x3208,0x3614,0x3614,0x3208,0x3613,0x3614,0x3208,0x3208,0x3614,0x3208,0x3208,0x3208
12,0x3614,0x3614,0x3614,0x3208,0x3614,0x3614,0x3614,0x3614,0x3614,0x3614,0x3208,0x3614,0x3614,0x3614,0x3208
13,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B
14,0x326B,0x366C,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B
15,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B
16,0x366C,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B
17,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B
18,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B,0x326B,0x326B,0x366C
19,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x326B,0x366C,0x326B,0x326B
20,0x3208,0x3208,0x3614,0x3614,0x3614,0x3614,0x3614,0x3614,0x3614,0x3614,0x3614,0x3614,0x3208,0x3208,0x3208
21,0x3211,0x3212,0x3208,0x3208,0x3614,0x3614,0x3614,0x3614,0x3614,0x3614,0x3614,0x3208,0x3208,0x3208,0x3208
