map,Route110_TrickHousePuzzle5_Layout,width,15,height,22,primary,gTileset_Building,secondary,gTileset_TrickHousePuzzle
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0602,0x066F,0x0604
1,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x3677,0x060C
2,0x0668,0x0668,0x0668,0x0668,0x0668,0x3210,0x3210,0x3210,0x3210,0x3210,0x0668,0x0668,0x3210,0x3210,0x3210
3,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668
4,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668
5,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668
6,0x0668,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x0668
7,0x0668,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x0668
8,0x0668,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668
9,0x0668,0x0668,0x0613,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668
10,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668
11,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668
12,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668
13,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668
14,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668
15,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668
16,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668
17,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668
18,0x0668,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668
19,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668
20,0x3208,0x3208,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668
21,0x3211,0x3212,0x0668,0x0668,0x0668,0x0668,0x3208,0x3208,0x3208,0x0668,0x0668,0x0668,0x0668,0x0668,0x0668
