map,Route110_TrickHousePuzzle1_Layout,width,15,height,22,primary,gTileset_Building,secondary,gTileset_TrickHousePuzzle
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0602,0x066F,0x0604
1,0x0632,0x0633,0x0633,0x0633,0x0633,0x0633,0x0633,0x0633,0x0633,0x0633,0x0633,0x0634,0x060A,0x3677,0x060C
2,0x0623,0x0624,0x062B,0x0624,0x0624,0x0624,0x062B,0x0624,0x0624,0x0624,0x0624,0x0621,0x3210,0x3210,0x3210
3,0x325A,0x325A,0x062A,0x325A,0x325A,0x325A,0x062A,0x325A,0x325A,0x325A,0x325A,0x062A,0x3208,0x3208,0x3208
4,0x3208,0x3208,0x321A,0x3208,0x3208,0x3208,0x321A,0x3208,0x3208,0x3208,0x3208,0x321A,0x3208,0x3208,0x3208
5,0x3208,0x321B,0x062C,0x321C,0x321C,0x321C,0x062C,0x321C,0x321C,0x321C,0x321C,0x062C,0x321C,0x321C,0x321D
6,0x3208,0x0623,0x0624,0x0624,0x062B,0x0624,0x0624,0x0624,0x0624,0x062B,0x0624,0x0624,0x0624,0x0624,0x0625
7,0x3208,0x325A,0x325A,0x325A,0x0622,0x325A,0x325A,0x325A,0x325A,0x062A,0x325A,0x325A,0x325A,0x325A,0x325A
8,0x3208,0x3208,0x3208,0x3208,0x0622,0x3208,0x3208,0x3208,0x3208,0x321A,0x3208,0x3208,0x3208,0x3208,0x0613
9,0x321B,0x321D,0x3208,0x3218,0x062C,0x321D,0x3208,0x3218,0x321C,0x062C,0x321C,0x321C,0x321C,0x321C,0x321D
10,0x0630,0x0631,0x3208,0x0620,0x0624,0x0625,0x3208,0x0620,0x0624,0x0624,0x0624,0x0624,0x062B,0x0624,0x0625
11,0x325A,0x325A,0x3208,0x062A,0x325A,0x325A,0x3208,0x0622,0x325A,0x325A,0x325A,0x325A,0x062A,0x325A,0x325A
12,0x3208,0x3208,0x3208,0x321A,0x3208,0x3208,0x3208,0x0622,0x3208,0x3208,0x3208,0x3208,0x321A,0x3208,0x3208
13,0x3208,0x321B,0x321C,0x062C,0x321C,0x321C,0x321C,0x062C,0x321C,0x321C,0x321C,0x321C,0x062C,0x321D,0x3208
14,0x3208,0x0623,0x0624,0x0624,0x0624,0x062B,0x0624,0x0624,0x0624,0x0624,0x062B,0x0624,0x0624,0x0625,0x3208
15,0x3208,0x325A,0x325A,0x325A,0x325A,0x0622,0x325A,0x325A,0x325A,0x325A,0x062A,0x325A,0x325A,0x325A,0x3208
16,0x3208,0x3208,0x3208,0x3208,0x3208,0x0622,0x3208,0x3208,0x3208,0x3208,0x321A,0x3208,0x3208,0x3208,0x3208
17,0x321B,0x321C,0x321D,0x3208,0x321B,0x062C,0x321C,0x321C,0x321C,0x321C,0x062C,0x321D,0x3208,0x321B,0x321D
18,0x0623,0x0624,0x0625,0x3208,0x0623,0x0624,0x0624,0x062B,0x0624,0x0624,0x0624,0x0625,0x3208,0x0630,0x0631
19,0x325A,0x325A,0x325A,0x3208,0x325A,0x325A,0x325A,0x0622,0x325A,0x325A,0x325A,0x325A,0x3208,0x325A,0x325A
20,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x062A,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208
21,0x3211,0x3212,0x3208,0x3208,0x3208,0x3208,0x3208,0x325A,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208
