map,Route110_TrickHousePuzzle2_Layout,width,15,height,22,primary,gTileset_Building,secondary,gTileset_TrickHousePuzzle
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0x0601,0x0601,0x0605,0x0606,0x0601,0x0601,0x0605,0x0606,0x0601,0x0601,0x0605,0x0606,0x0602,0x066F,0x0604
1,0x0609,0x0609,0x060D,0x060E,0x0609,0x0609,0x060D,0x060E,0x0609,0x0609,0x060D,0x060E,0x060A,0x3677,0x060C
2,0x3210,0x0680,0x3210,0x3216,0x0680,0x0258,0x3210,0x3216,0x3210,0x3210,0x3210,0x3216,0x3210,0x3210,0x3210
3,0x3208,0x0688,0x3208,0x0689,0x0694,0x0682,0x0682,0x0682,0x0683,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208
4,0x3208,0x0688,0x3208,0x0690,0x3208,0x3208,0x3208,0x3208,0x0669,0x3208,0x0689,0x0682,0x0682,0x0682,0x0683
5,0x3208,0x0688,0x3208,0x3208,0x3208,0x0689,0x0683,0x3208,0x0681,0x0682,0x068B,0x3208,0x0669,0x3208,0x0613
6,0x3208,0x0691,0x0682,0x068A,0x3208,0x0688,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x0681,0x0682,0x0683
7,0x3208,0x3208,0x3208,0x0688,0x3208,0x0688,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x3208,0x3208,0x3208
8,0x0681,0x0683,0x3208,0x0688,0x3208,0x0688,0x3208,0x0681,0x0682,0x0682,0x0694,0x0693,0x0682,0x0683,0x3208
9,0x3208,0x3208,0x3208,0x0688,0x3208,0x0688,0x3208,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x3208,0x3208
10,0x3208,0x3208,0x3208,0x0688,0x3258,0x068C,0x0683,0x3208,0x0680,0x3208,0x0681,0x0692,0x3208,0x0681,0x0683
11,0x0681,0x0683,0x3208,0x0691,0x0682,0x068B,0x3208,0x3208,0x0688,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208
12,0x3208,0x0669,0x3208,0x3208,0x3208,0x0688,0x3208,0x0689,0x0692,0x3208,0x0689,0x0682,0x0682,0x0683,0x3208
13,0x3208,0x0681,0x0682,0x068A,0x3208,0x0691,0x0682,0x068B,0x3208,0x3208,0x0688,0x3208,0x0669,0x3208,0x3208
14,0x3208,0x3208,0x3208,0x0688,0x3208,0x3208,0x3208,0x068C,0x0682,0x0682,0x0692,0x3208,0x0689,0x0682,0x0683
15,0x0681,0x0683,0x3208,0x0691,0x0682,0x068A,0x3208,0x0688,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x3208
16,0x3208,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x0691,0x0682,0x068A,0x3208,0x3208,0x0690,0x3208,0x3208
17,0x3208,0x0680,0x3208,0x0680,0x3208,0x0688,0x3208,0x3208,0x3258,0x0688,0x3208,0x3208,0x3208,0x3208,0x3208
18,0x3208,0x0688,0x3208,0x0688,0x3208,0x0691,0x0682,0x0693,0x0682,0x0692,0x3208,0x0681,0x0693,0x0683,0x3208
19,0x3208,0x0690,0x3208,0x0688,0x3208,0x3208,0x3208,0x0688,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x3208
20,0x3208,0x3208,0x3208,0x0691,0x0682,0x0682,0x0682,0x0692,0x3208,0x0681,0x068A,0x3208,0x0691,0x068A,0x3208
21,0x3211,0x3212,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0690,0x3208,0x3208,0x0690,0x3258
