map,MeteorFalls_1F_1R_Layout,width,30,height,42,primary,gTileset_General,secondary,gTileset_MeteorFalls
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0x0634,0x0664,0x0665,0x0644,0x0644,0x0644,0x064C,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0664,0x0665,0x0644,0x0644,0x0644,0x0644,0x0666,0x0667,0x063C
1,0x0634,0x066C,0x066D,0x0644,0x0644,0x0644,0x0654,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0666,0x0667,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x066C,0x066D,0x0644,0x0644,0x0644,0x0644,0x066E,0x066F,0x063C
2,0x0634,0x0674,0x0675,0x0644,0x0644,0x0644,0x065C,0x0644,0x0644,0x0645,0x0646,0x0647,0x0644,0x066E,0x066F,0x0644,0x0644,0x0644,0x0644,0x0644,0x0644,0x0674,0x0675,0x0644,0x0644,0x0644,0x0644,0x066E,0x066F,0x063C
3,0x0634,0x3201,0x3201,0x3201,0x3201,0x3201,0x3234,0x0616,0x0644,0x064D,0x324E,0x064F,0x0644,0x0676,0x0677,0x0644,0x0644,0x0644,0x0615,0x323C,0x3201,0x3201,0x3201,0x3201,0x3201,0x3234,0x0616,0x0676,0x0677,0x063C
4,0x0634,0x3201,0x3201,0x3201,0x3201,0x320D,0x3234,0x0612,0x3201,0x3201,0x3201,0x3201,0x3234,0x1180,0x1189,0x1189,0x1189,0x1181,0x0628,0x323C,0x3201,0x3201,0x3201,0x3201,0x3201,0x3234,0x0612,0x3201,0x060E,0x063C
5,0x0634,0x3201,0x3282,0x3283,0x3201,0x3201,0x323F,0x0612,0x323E,0x323E,0x323E,0x323E,0x323F,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x323C,0x3201,0x3201,0x3201,0x3201,0x3201,0x323F,0x0612,0x3201,0x3201,0x063C
6,0x0634,0x3201,0x328A,0x328B,0x3201,0x3234,0x0613,0x0632,0x1180,0x1189,0x1189,0x1189,0x1189,0x1198,0x1170,0x1170,0x1170,0x1192,0x0628,0x323C,0x3201,0x3201,0x3201,0x3201,0x3234,0x0613,0x061A,0x3201,0x3201,0x063C
7,0x0634,0x3201,0x3201,0x3201,0x3201,0x323F,0x0612,0x1180,0x1198,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0628,0x323C,0x3201,0x3201,0x3201,0x3201,0x3234,0x0612,0x3201,0x3201,0x3201,0x063C
8,0x0634,0x323E,0x323E,0x323E,0x323F,0x0613,0x061A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0628,0x323D,0x323E,0x323E,0x323E,0x323E,0x323F,0x0612,0x3201,0x3201,0x3201,0x063C
9,0x0634,0x3619,0x3619,0x3619,0x3619,0x061A,0x323E,0x3237,0x1179,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1178,0x3235,0x3236,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x323E,0x323E,0x323E,0x063C
10,0x0634,0x0664,0x0665,0x0644,0x0644,0x0644,0x0644,0x062F,0x10BB,0x10B3,0x10B3,0x10B3,0x10B3,0x10B3,0x10B3,0x10BC,0x062E,0x0644,0x0644,0x0666,0x0667,0x0644,0x0644,0x0644,0x0664,0x0665,0x0644,0x3202,0x0644,0x063C
11,0x0634,0x066C,0x066D,0x0644,0x0644,0x0644,0x0644,0x062F,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x062E,0x0644,0x0644,0x066E,0x066F,0x0644,0x0644,0x0644,0x066C,0x066D,0x0644,0x3202,0x0644,0x063C
12,0x0634,0x0674,0x0675,0x0644,0x0644,0x0644,0x0644,0x062F,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x062E,0x064C,0x0644,0x066E,0x066F,0x0644,0x0644,0x0644,0x0674,0x0675,0x0644,0x3202,0x0644,0x063C
13,0x0634,0x3201,0x3201,0x3234,0x0616,0x0644,0x0644,0x062F,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x10B9,0x062E,0x0654,0x0644,0x066E,0x066F,0x0644,0x0644,0x0615,0x323C,0x3282,0x3283,0x3201,0x060E,0x063C
14,0x0634,0x3201,0x3201,0x3234,0x062A,0x0616,0x0644,0x062F,0x104C,0x104C,0x104C,0x104C,0x104C,0x104C,0x104C,0x104C,0x062E,0x065C,0x0644,0x0676,0x0677,0x0644,0x0615,0x0628,0x323C,0x328A,0x328B,0x3201,0x3201,0x063C
15,0x0634,0x323E,0x323E,0x323F,0x062A,0x0612,0x1180,0x1189,0x1054,0x1054,0x1054,0x1054,0x1054,0x1054,0x1054,0x1054,0x1189,0x055A,0x055B,0x1181,0x3201,0x3201,0x0628,0x0628,0x323D,0x323E,0x323E,0x323E,0x323E,0x063C
16,0x0634,0x0619,0x3202,0x0619,0x0632,0x0612,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x119A,0x1189,0x1181,0x0628,0x0618,0x0619,0x0619,0x0619,0x0202,0x0619,0x063C
17,0x0634,0x323E,0x323E,0x323E,0x323F,0x0612,0x1190,0x1170,0x1170,0x1170,0x1170,0x0638,0x4270,0x4271,0x4271,0x4271,0x4271,0x4272,0x0639,0x1170,0x1170,0x1192,0x0628,0x423C,0x4201,0x4201,0x4201,0x4201,0x060F,0x063C
18,0x0634,0x0613,0x3202,0x0619,0x0619,0x061A,0x1190,0x1170,0x1170,0x1170,0x1178,0x0628,0x423C,0x4201,0x4201,0x4201,0x4201,0x4234,0x4260,0xF261,0xF261,0xF261,0x4262,0x423C,0x4201,0x4201,0x4201,0x4207,0x4201,0x063C
19,0x0634,0x0612,0x3201,0x3201,0x3201,0x3201,0x1190,0x1170,0x1170,0x1170,0x1192,0x0618,0x0619,0x0619,0x0202,0x0614,0x423C,0x4234,0x4268,0xF269,0xF269,0xF269,0x426A,0x423D,0x0608,0x0633,0x067D,0x067E,0x067F,0x063C
20,0x0634,0x0612,0x3201,0x3201,0x3201,0x3201,0x321E,0x321E,0x321E,0x321E,0x321E,0x3201,0x3201,0x3201,0x3201,0x0628,0x423C,0x4234,0x062A,0x1280,0x1171,0x1281,0x0630,0x0614,0x0628,0x063C,0x0601,0x0601,0x0601,0x063C
21,0x0634,0x0612,0x060E,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3282,0x3283,0x3201,0x0628,0x423C,0x4234,0x062A,0x1190,0x1170,0x119A,0x1181,0x0628,0x0628,0x063D,0x023E,0x023E,0x063E,0x063C
22,0x0634,0x061A,0x3201,0x060E,0x323E,0x323E,0x323E,0x323E,0x323E,0x323E,0x3201,0x3201,0x328A,0x328B,0x3201,0x0628,0x423D,0x423F,0x062A,0x1190,0x1170,0x1170,0x1192,0x0628,0x0630,0x0631,0x0631,0x0631,0x0631,0x063C
23,0x0634,0x323E,0x323F,0x064C,0x0644,0x0644,0x3202,0x0644,0x0664,0x0665,0x323C,0x3201,0x3201,0x3201,0x060F,0x0618,0x0619,0x0619,0x0632,0x3237,0x1179,0x1170,0x1192,0x0630,0x0631,0x0631,0x0631,0x0631,0x0631,0x063C
24,0x0634,0x0666,0x0667,0x0654,0x0644,0x0644,0x3202,0x0644,0x066C,0x066D,0x323D,0x060F,0x323E,0x323E,0x323F,0x0644,0x064C,0x0644,0x0644,0x062F,0x10BB,0x10B3,0x10BC,0x062E,0x0644,0x0644,0x0644,0x0644,0x0644,0x063C
25,0x0634,0x066E,0x066F,0x065C,0x3229,0x3229,0x3229,0x3229,0x0674,0x0675,0x062E,0x0644,0x0644,0x0644,0x062F,0x0644,0x0654,0x0644,0x0644,0x062F,0x10B9,0x10B9,0x10B9,0x062E,0x0644,0x0644,0x0644,0x0644,0x0644,0x063C
26,0x0634,0x0676,0x0677,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x062E,0x0644,0x0644,0x0644,0x062F,0x0616,0x065C,0x0644,0x0644,0x062F,0x10B9,0x10B9,0x10B9,0x062E,0x0644,0x0644,0x0644,0x0644,0x064C,0x063C
27,0x0634,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x062A,0x0616,0x0644,0x0644,0x062F,0x10B9,0x10B9,0x10B9,0x062E,0x0644,0x0645,0x0646,0x0647,0x0654,0x063C
28,0x0634,0x3229,0x3229,0x3229,0x068E,0x3255,0x3256,0x3257,0x068D,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x062A,0x062A,0x0616,0x0644,0x062F,0x10B9,0x10B9,0x10B9,0x062E,0x0644,0x064D,0x324E,0x064F,0x065C,0x063C
29,0x0634,0x0613,0x0631,0x0631,0x069E,0x065D,0x065E,0x065F,0x069D,0x0631,0x0631,0x0631,0x0631,0x3202,0x0631,0x0632,0x062A,0x062A,0x0616,0x062F,0x104C,0x104C,0x104C,0x062E,0x0615,0x323C,0x3201,0x3201,0x3201,0x063C
30,0x0634,0x062A,0x3229,0x068E,0x3255,0x3257,0x3255,0x3256,0x3256,0x3257,0x068D,0x3229,0x3229,0x3229,0x3229,0x3229,0x062A,0x062A,0x062A,0x1180,0x1054,0x1054,0x1054,0x1181,0x0628,0x323C,0x3201,0x060F,0x3201,0x063C
31,0x0634,0x0632,0x0613,0x069E,0x065D,0x065F,0x065D,0x065E,0x065E,0x065F,0x069D,0x0631,0x0631,0x3202,0x0631,0x0631,0x0632,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x323C,0x3201,0x3201,0x3201,0x063C
32,0x0634,0x0631,0x069E,0x068E,0x3255,0x3256,0x3256,0x3256,0x3257,0x3255,0x3257,0x068D,0x3229,0x3229,0x3229,0x061F,0x0629,0x062A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x323C,0x3282,0x3283,0x3201,0x063C
33,0x0634,0x0613,0x0631,0x069E,0x065D,0x065E,0x065E,0x065E,0x065F,0x065D,0x065F,0x069D,0x0631,0x3202,0x0631,0x0631,0x0631,0x0632,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x323C,0x328A,0x328B,0x3201,0x063C
34,0x0634,0x062A,0x068E,0x3255,0x3257,0x3255,0x3256,0x3256,0x3257,0x3255,0x3256,0x3257,0x068D,0x3229,0x3229,0x3229,0x3229,0x061F,0x062A,0x1190,0x1170,0x1170,0x1170,0x1192,0x0628,0x323C,0x3201,0x3201,0x3201,0x063C
35,0x0634,0x062A,0x0696,0x065D,0x065F,0x065D,0x065E,0x065E,0x065F,0x065D,0x065E,0x065F,0x0695,0x3229,0x3282,0x3283,0x3229,0x0613,0x0632,0x1190,0x1170,0x1550,0x1551,0x1192,0x0628,0x323D,0x060F,0x3201,0x3201,0x063C
36,0x0634,0x062A,0x0696,0x3255,0x3256,0x3256,0x3256,0x3257,0x3255,0x3256,0x3256,0x3257,0x0695,0x3229,0x328A,0x328B,0x3229,0x062A,0x1180,0x1198,0x1170,0x1558,0x1559,0x1192,0x0630,0x0614,0x323D,0x323E,0x060F,0x063C
37,0x0634,0x062A,0x0696,0x065D,0x065E,0x065E,0x065E,0x065F,0x065D,0x065E,0x065E,0x065F,0x069D,0x3202,0x0631,0x0631,0x0631,0x0632,0x1190,0x1170,0x1170,0x1170,0x1170,0x119A,0x1181,0x0630,0x0631,0x0631,0x0631,0x063C
38,0x0634,0x062A,0x0612,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x061F,0x3229,0x1180,0x1198,0x1170,0x1170,0x1170,0x1170,0x1170,0x119A,0x1189,0x155A,0x155B,0x1181,0x063C
39,0x0634,0x0632,0x0612,0x3229,0x3229,0x3229,0x3224,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x361F,0x3229,0x1190,0x1170,0x1170,0x1170,0x1170,0x1550,0x1551,0x1170,0x1170,0x1558,0x1559,0x1192,0x063C
