map,Route110_TrickHousePuzzle6_Layout,width,15,height,22,primary,gTileset_Building,secondary,gTileset_TrickHousePuzzle
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0602,0x066F,0x0604
1,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x3677,0x060C
2,0x3210,0x3210,0x3210,0x3210,0x3210,0x0684,0x3210,0x0680,0x3210,0x0680,0x3210,0x3210,0x3210,0x3210,0x0680
3,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x0688,0x3208,0x0680,0x3208,0x0680,0x0688
4,0x3208,0x3208,0x3208,0x3208,0x3208,0x0680,0x3208,0x0688,0x3208,0x0688,0x3208,0x0690,0x3208,0x0688,0x0688
5,0x3208,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x0688,0x3208,0x0688,0x3208,0x3208,0x3208,0x0688,0x0688
6,0x0689,0x0683,0x3208,0x0684,0x3208,0x0688,0x3208,0x0688,0x3208,0x0688,0x3208,0x3208,0x0680,0x0688,0x0688
7,0x0688,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x0690,0x3208,0x0690,0x3208,0x3208,0x0690,0x0690,0x0690
8,0x0688,0x3208,0x3208,0x3208,0x0680,0x0688,0x3208,0x3208,0x3208,0x3208,0x3208,0x0680,0x3208,0x3208,0x3208
9,0x0688,0x3208,0x0680,0x3208,0x0690,0x0690,0x0680,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x3613,0x3208
10,0x0690,0x3208,0x0688,0x3208,0x3208,0x3208,0x0691,0x0682,0x0682,0x0682,0x0682,0x0692,0x3208,0x3208,0x3208
11,0x3208,0x3208,0x0691,0x0682,0x068A,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208
12,0x3208,0x3208,0x3208,0x3208,0x0688,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208
13,0x3208,0x3208,0x0680,0x3208,0x0690,0x0680,0x0680,0x3208,0x3208,0x0680,0x3208,0x0681,0x0682,0x0682,0x068A
14,0x0680,0x3208,0x0690,0x3208,0x3208,0x0688,0x0688,0x3208,0x3208,0x0690,0x3208,0x0681,0x0682,0x068A,0x0688
15,0x0688,0x3208,0x3208,0x3208,0x3208,0x0688,0x0688,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0688,0x0688
16,0x0688,0x3208,0x3208,0x3208,0x3208,0x0688,0x0688,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0688,0x0688
17,0x0691,0x068A,0x3208,0x0681,0x0682,0x068B,0x0688,0x3208,0x3208,0x0681,0x0682,0x0683,0x3208,0x0690,0x0688
18,0x3208,0x0690,0x3208,0x3208,0x3208,0x0688,0x0688,0x3208,0x3208,0x0681,0x0682,0x0683,0x3208,0x3208,0x0688
19,0x3208,0x3208,0x3208,0x3208,0x3208,0x0690,0x0690,0x3208,0x3208,0x0681,0x0682,0x0683,0x3208,0x3208,0x0688
20,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x3208,0x0688
21,0x3211,0x3212,0x3208,0x3208,0x3208,0x0681,0x0683,0x3208,0x3208,0x3208,0x3208,0x0681,0x0682,0x0682,0x0692
