map,VictoryRoad_B2F_Layout,width,46,height,31,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x061B,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
1,0x0611,0x0611,0x0611,0x0612,0x1180,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1181,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x3211,0x0618,0x061C,0x0611,0x0611,0x061B,0x060F,0x0619,0x061C
2,0x0611,0x0611,0x0611,0x0612,0x1190,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x1192,0x0610,0x0611,0x0611,0x0611,0x061B,0x0619,0x0619,0x0619,0x061A,0x3211,0x3211,0x0610,0x0611,0x0611,0x0612,0x3216,0x3211,0x0610
3,0x0611,0x0611,0x0611,0x0612,0x1190,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x1192,0x0610,0x0611,0x0611,0x0611,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0618,0x061C,0x0611,0x0612,0x3211,0x3211,0x0610
4,0x0611,0x0611,0x0611,0x0612,0x1190,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x1192,0x0618,0x061C,0x0611,0x0611,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x0611,0x0612,0x3211,0x3211,0x0610
5,0x0611,0x0611,0x061B,0x061A,0x1190,0x127B,0x127B,0x127B,0x127B,0x127B,0x0754,0x0755,0x0755,0x0755,0x0756,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x127B,0x1192,0x3211,0x0610,0x0611,0x0611,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0618,0x0619,0x061A,0x3211,0x3211,0x0610
6,0x0611,0x0611,0x0612,0x3211,0x3357,0x3357,0x3357,0x1179,0x127B,0x1192,0x0610,0x0611,0x0611,0x0611,0x0612,0x3357,0x3357,0x3357,0x3357,0x3357,0x3357,0x3357,0x3357,0x1179,0x127B,0x127B,0x127B,0x1192,0x3211,0x0610,0x0611,0x0611,0x0612,0x3211,0x3211,0x0620,0x0609,0x0622,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610
7,0x061B,0x0619,0x061A,0x3211,0x3211,0x3211,0x3211,0x1190,0x127B,0x1192,0x0610,0x0611,0x061B,0x0619,0x061A,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3357,0x3357,0x1179,0x127B,0x1192,0x0620,0x4223,0x0611,0x061B,0x061A,0x3211,0x3211,0x0610,0x0611,0x4223,0x0622,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610
8,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x1190,0x127B,0x1192,0x0610,0x061B,0x061A,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x1190,0x127B,0x1192,0x0618,0x0619,0x0619,0x061A,0x3211,0x3211,0x3211,0x0618,0x0619,0x0619,0x061A,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610
9,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x1190,0x127B,0x1192,0x0610,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x10BB,0x10B3,0x10BC,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x3204,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x3211,0x3211,0x3211,0x3211,0x0610
