map,GraniteCave_B1F_Layout,width,32,height,26,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C
1,0x0612,0x3201,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x0608,0x0621,0x0621,0x0621,0x0621,0x060A,0x3201,0x3201,0x0610
2,0x0612,0x3201,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x0610,0x0611,0x0611,0x0611,0x0611,0x0612,0x323F,0x3201,0x0610
3,0x0612,0x3201,0x3201,0x0608,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x060A,0x3201,0x323F,0x3201,0x3201,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x0618,0x0619,0x0619,0x0619,0x0619,0x061A,0x3201,0x3201,0x0610
4,0x0612,0x3201,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x0608,0x0621,0x0621,0x0621,0x0621,0x0621,0x060A,0x322F,0x322F,0x322F,0x0602,0x322F,0x322F,0x322F,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610
5,0x0612,0x3201,0x3201,0x322F,0x322F,0x322F,0x3201,0x3201,0x323F,0x3201,0x3201,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610
6,0x0612,0x3201,0x3201,0x322F,0x322F,0x322F,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x061C,0x0611,0x0611,0x0611,0x0611,0x0612,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x322F,0x3201,0x3201,0x3201,0x3201,0x3201,0x0603,0x0610
7,0x0623,0x0621,0x0623,0x0621,0x0621,0x060A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0611,0x0611,0x0623,0x0621,0x0623,0x0621,0x0623,0x0621,0x0623,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0623
8,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x061C,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
9,0x061B,0x0619,0x0619,0x0619,0x0619,0x061A,0x061B,0x0619,0x068D,0x30E8,0x068E,0x0619,0x061C,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C
10,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x061A,0x061B,0x0695,0x30E8,0x0696,0x061C,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610
11,0x0612,0x0612,0x0611,0x0602,0x061B,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x3211,0x3211,0x3211,0x0603,0x3211,0x0603,0x0610,0x0610
12,0x0612,0x0612,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0602,0x0603,0x0610,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x0610
13,0x0612,0x0612,0x061B,0x0619,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x3211,0x323E,0x3211,0x3211,0x3211,0x323F,0x0610,0x0610
14,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x0610
15,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x061C,0x3211,0x3211,0x3211,0x0610,0x0610
16,0x0612,0x0612,0x0612,0x3201,0x0608,0x0609,0x0609,0x0623,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0612,0x0602,0x0603,0x3201,0x3201,0x3201,0x3201,0x3201,0x0602,0x0610,0x3211,0x3211,0x3211,0x0610,0x0610
17,0x0612,0x0612,0x0612,0x3201,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0623,0x0609,0x0609,0x060A,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x3211,0x3211,0x3211,0x0610,0x0610
18,0x0612,0x0612,0x0612,0x3201,0x0618,0x0619,0x061C,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x3211,0x3211,0x0602,0x0610,0x0610
19,0x0612,0x0612,0x0612,0x3201,0x3201,0x0602,0x0610,0x0611,0x0611,0x0611,0x0612,0x0602,0x3201,0x3201,0x0618,0x0619,0x061C,0x0611,0x0611,0x0611,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x0618,0x0619,0x0619,0x061C,0x0610,0x0610
